step,stable_episode_count,episodes,mean_last_100_height_m,mean_return,std_return,mean_max_torso_height_m,source_file
500000,0,5,0.2573128929968455,95405.43585082437,25717.523128641766,1.073410716341396,500000_steps.json
1000000,0,5,0.703243564486491,235746.2027426925,22662.879480290107,0.8146296924332808,1000000_steps.json
1500000,0,5,0.6971509938629236,235795.82845128136,32914.06506107135,1.204980389457666,1500000_steps.json
2000000,0,5,0.6611776019285729,229986.6732683761,63973.47665738057,1.2825838881237221,2000000_steps.json
2500000,0,5,0.5373677179347423,210811.4240214027,70966.98197740558,1.2883312923050396,2500000_steps.json
3000000,0,5,0.8183452919471297,277376.50734991685,4371.277840415027,1.2526615561525827,3000000_steps.json
3500000,0,5,0.6730126212274189,255132.8448834749,37826.69053254005,1.2354430389634472,3500000_steps.json
4000000,0,5,0.8072318737056567,282889.2101988984,12251.737935494906,1.2699987450850938,4000000_steps.json
4500000,0,5,0.6249492203956052,242054.36365470296,56589.307287244905,1.2864407752978817,4500000_steps.json
5000000,0,5,0.6513741477509416,262938.8310144213,65576.68343977386,1.3047199163297472,5000000_steps.json
5500000,0,5,0.833413927605239,283553.99620449875,1833.0709667990925,1.2536153640753422,5500000_steps.json
6000000,0,5,0.7421468720737703,296005.66154520976,23835.664795244033,1.32782138160698,6000000_steps.json
6500000,0,5,0.5314107692490792,235039.77602400965,67490.41489514617,1.3281502643428362,6500000_steps.json
7000000,0,5,0.632563189018558,266360.4609951535,88733.0350121572,1.319041618239185,7000000_steps.json
7500000,0,5,1.025681625904416,343063.4328507845,47751.32142715268,1.312386655564876,7500000_steps.json
8000000,0,5,1.095061320520011,362594.719149391,48775.94305960901,1.3111031113547682,8000000_steps.json
8500000,0,5,1.0302642979205319,340936.3962515244,49519.73876832024,1.2908335416873775,8500000_steps.json
9000000,0,5,1.1036906720080366,361268.6839790881,52935.59699448488,1.3325480720289065,9000000_steps.json
9500000,0,5,0.7792391421112719,296786.5601540307,95631.22908601438,1.3197654057549908,9500000_steps.json
10000000,0,5,0.9792443127319952,325118.0258124174,99393.14336579591,1.3313174190883974,10000000_steps.json
10500000,0,5,1.1853630247753366,389378.9862102297,125.35032447146054,1.3251607526044167,10500000_steps.json
11000000,0,5,0.7269981122352316,268747.90064178495,110633.20008173335,1.3484327711147888,11000000_steps.json
11500000,0,5,0.5146668462307369,203873.6730919199,109760.91784509567,1.235707609800413,11500000_steps.json
12000000,0,5,0.6147604686363943,243236.11573675642,107661.66487408613,1.2624971128817488,12000000_steps.json
12500000,0,5,0.3300246144037197,168760.0587941106,64452.556308119245,1.3146025389762275,12500000_steps.json
13000000,0,5,0.9888692675276447,333565.93047474854,114452.33781875536,1.2939214814848445,13000000_steps.json
13500000,0,5,0.5895013158776735,244266.38419949458,122799.41695288055,1.2336732401729715,13500000_steps.json
14000000,0,5,1.0072413143824264,347472.53828337387,61906.37661578352,1.221734885934109,14000000_steps.json
14500000,0,5,1.1890271510707646,390489.9333588358,122.42324212997437,1.2206064915898511,14500000_steps.json
15000000,0,5,0.3903376759770792,238875.12396666835,103357.13294489075,1.2377503909441256,15000000_steps.json
15500000,0,5,0.7685621647683523,280505.36756799987,134321.51933098203,1.2568719758640037,15500000_steps.json
16000000,0,5,0.18016229155721464,102990.97748363305,15549.038180884989,1.2456906636149774,16000000_steps.json
16500000,0,5,0.3527958128446339,207610.35212413452,99060.41019282727,1.232585222855924,16500000_steps.json
17000000,0,5,0.7903438346247341,275841.4625684944,144823.37062632552,1.2311208516263175,17000000_steps.json
17500000,1,5,1.024488419076966,383221.2338855055,27257.588104183364,1.2670025908748621,17500000_steps.json
18000000,0,5,0.5776270601861058,301368.80354978936,94351.3106398772,1.2386203541768133,18000000_steps.json
18500000,4,5,1.019269049644333,382373.08525023545,35594.95349204311,1.2492872071474126,18500000_steps.json
19000000,2,5,0.8158853686434473,317188.24794363714,112317.7915294325,1.2339862415274196,19000000_steps.json
19500000,1,5,1.0009024066298509,339055.197995077,111488.85017641021,1.2468272768135127,19500000_steps.json
20000000,4,5,1.0020894208976674,336821.58472028706,127741.24436111526,1.2712172359854086,20000000_steps.json
20500000,0,5,0.6425766148193252,238192.39937879992,131859.1523631865,1.2761949360229472,20500000_steps.json
21000000,1,5,0.6123627658003666,222599.26192238033,144808.56849495447,1.3238968593407028,21000000_steps.json
21500000,2,5,0.6526046687805385,279706.2156576481,102525.34941709501,1.2973526149307286,21500000_steps.json
22000000,0,5,0.37805399322805017,221725.2955615619,109832.63740014027,1.286371358220335,22000000_steps.json
22500000,1,5,0.5014715077264236,195368.61511746323,115169.79121591013,1.296710394667853,22500000_steps.json
23000000,0,5,0.22145877472538467,232247.05714604218,45847.12821845267,1.2772762797224655,23000000_steps.json
23500000,0,5,0.3935464439226929,190080.26389368737,119985.24067398405,1.3067122565279048,23500000_steps.json
24000000,0,5,1.0248123931564153,349435.76931666245,93736.66024270475,1.2783094113259135,24000000_steps.json
24500000,3,5,0.9911017695864537,334161.88463875075,126592.19102293192,1.2521505224713223,24500000_steps.json
25000000,2,5,0.6218803750517484,220267.84845041786,147298.07289055866,1.2913540129810663,25000000_steps.json
